scheme_id,rule_id,section,attribute,operator,normalized_value,evidence_text
S037,S037-E004,,education,INFORMATION,"For PG, Diploma after Graduation and Ph.D courses from a foreign educational institution, THE (Times Higher Education) / or QS (Quacquarelli Symonds) Ranking must be within 200.","For PG, Diploma after Graduation and Ph.D courses from a foreign educational institution, THE (Times Higher Education) / or QS (Quacquarelli Symonds) Ranking must be within 200."
S037,S037-E005,,education,INFORMATION,Unconditional Offer Letter from the educational institution of abroad.,Unconditional Offer Letter from the educational institution of abroad.
S037,S037-E006,,income,<=,"₹ 8,00,000","Annual family income should be less than ₹ 8,00,000/-."
S037,S037-E007,,education,INFORMATION,The following seats are available for the said scholarship branch / course-wise:,The following seats are available for the said scholarship branch / course-wise:
S037,S037-E008,,special_condition,INFORMATION,02,02
S037,S037-E009,,education,INFORMATION,| **Sl. No.Branch/CoursePost Graduate Degree and Post Graduate DiplomaDoctorateTotal** |            |    |    |    |,| **Sl. No.Branch/CoursePost Graduate Degree and Post Graduate DiplomaDoctorateTotal** |            |    |    |    |
S037,S037-E010,,special_condition,INFORMATION,| ------------------------------------------------------------------------------------ | ---------- | -- | -- | -- |,| ------------------------------------------------------------------------------------ | ---------- | -- | -- | -- |
S037,S037-E011,,special_condition,INFORMATION,| 1                                                                                    | Art        | 01 | 01 | 02 |,| 1                                                                                    | Art        | 01 | 01 | 02 |
S037,S037-E012,,special_condition,INFORMATION,| 2                                                                                    | Commerce   | 01 | 01 | 02 |,| 2                                                                                    | Commerce   | 01 | 01 | 02 |
S037,S037-E013,,special_condition,INFORMATION,| 3                                                                                    | Science    | 01 | 01 | 02 |,| 3                                                                                    | Science    | 01 | 01 | 02 |
S037,S037-E014,,age,INFORMATION,| 4                                                                                    | Management | 01 | 01 | 02 |,| 4                                                                                    | Management | 01 | 01 | 02 |
S037,S037-E015,,education,INFORMATION,| 5                                                                                    | Law Course | 01 | 01 |    |,| 5                                                                                    | Law Course | 01 | 01 |    |
S037,S037-E016,,special_condition,INFORMATION,| 6Engineering/ Architecture Science040408 |              |    |    |    |,| 6Engineering/ Architecture Science040408 |              |    |    |    |
S037,S037-E017,,special_condition,INFORMATION,| ---------------------------------------- | ------------ | -- | -- | -- |,| ---------------------------------------- | ------------ | -- | -- | -- |
S037,S037-E018,,special_condition,INFORMATION,| 7                                        | Pharmacology | 01 | 01 | 02 |,| 7                                        | Pharmacology | 01 | 01 | 02 |
S037,S037-E019,,special_condition,INFORMATION,| ﻿<br>                                    | Total        | 10 | 10 | 20 |,| ﻿<br>                                    | Total        | 10 | 10 | 20 |
S038,S038-E001,,gender,INFORMATION,The girl student should belong to the Saharia tribe of the Baran district of Rajasthan.,The girl student should belong to the Saharia tribe of the Baran district of Rajasthan.
S038,S038-E002,,gender,INFORMATION,The girl child should be studying regularly in a government school.,The girl child should be studying regularly in a government school.
S038,S038-E003,,income,INFORMATION,The mother/father/guardian/guardian of the student should not be an income taxpayer.,The mother/father/guardian/guardian of the student should not be an income taxpayer.
S038,S038-E004,,gender,INFORMATION,"The girl students, who are studying in residential schools/ashram hostels run by the government, they will not be entitled.","The girl students, who are studying in residential schools/ashram hostels run by the government, they will not be entitled."
S038,S038-E005,,special_condition,INFORMATION,Vaidya Bhamashah card and Aadhaar should be there.,Vaidya Bhamashah card and Aadhaar should be there.
S038,S038-E006,,residency,INFORMATION,Students should be a native of Rajasthan.,Students should be a native of Rajasthan.
S040,S040-E001,,special_condition,INFORMATION,1\.   The applicant should be an Indian National.,1\.   The applicant should be an Indian National.
S040,S040-E002,,special_condition,INFORMATION,2\.   The applicant should be any one of the following -:,2\.   The applicant should be any one of the following -:
S040,S040-E003,,education,INFORMATION,"Students in Post Graduate Courses — MBA (Finance), Law Students in 4th/5th Year of a five-year stream with consistent and excellent academic records/fresh graduates with excellent academic records possessing a first-class graduation degree;","Students in Post Graduate Courses — MBA (Finance), Law Students in 4th/5th Year of a five-year stream with consistent and excellent academic records/fresh graduates with excellent academic records possessing a first-class graduation degree;"
S040,S040-E004,,age,INFORMATION,Students pursuing post-graduation with a high second-class graduation degree (with at least 55% marks/students pursuing Masters/Research Courses in Economics/Finance/Management/Law at the National School of Economics/Law / Computer Forensics from recognized universities in India and Abroad.,Students pursuing post-graduation with a high second-class graduation degree (with at least 55% marks/students pursuing Masters/Research Courses in Economics/Finance/Management/Law at the National School of Economics/Law / Computer Forensics from recognized universities in India and Abroad.
S040,S040-E005,,age,INFORMATION,"Students pursuing final year or the equivalent of ICAI, ICAI(CMA), ICSI/Central Universities/AICTE recognized financial/Economic Institutions/recognized National Management Institutes/Foreign Universities and Institutions of Excellence.","Students pursuing final year or the equivalent of ICAI, ICAI(CMA), ICSI/Central Universities/AICTE recognized financial/Economic Institutions/recognized National Management Institutes/Foreign Universities and Institutions of Excellence."
S040,S040-E006,,education,INFORMATION,"3\.  In the case of Graduate Applicants, the applicant should have secured First Class Degree in Graduation.","3\.  In the case of Graduate Applicants, the applicant should have secured First Class Degree in Graduation."
S041,S041-E001,,gender,INFORMATION,The applicant should be Transgender.,The applicant should be Transgender.
S041,S041-E002,,residency,INFORMATION,The applicant should be a resident of Kerala.,The applicant should be a resident of Kerala.
S041,S041-E003,,gender,INFORMATION,"Transgender students who have secured admission in merit seats in Government, Aided/Self-financing colleges are eligible under this scheme.","Transgender students who have secured admission in merit seats in Government, Aided/Self-financing colleges are eligible under this scheme."
S041,S041-E004,,gender,INFORMATION,"Transgender students who secure admission for courses MBBS, Bachelor of Veterinary Science (BVSc), and BSc Agriculture in Government colleges are eligible.","Transgender students who secure admission for courses MBBS, Bachelor of Veterinary Science (BVSc), and BSc Agriculture in Government colleges are eligible."
S041,S041-E005,,gender,INFORMATION,Transgender students pursuing Diploma level government-accredited courses are also eligible.,Transgender students pursuing Diploma level government-accredited courses are also eligible.
S041,S041-E006,,gender,INFORMATION,Transgender students who have completed 18 years must submit a copy of their Transgender ID card.,Transgender students who have completed 18 years must submit a copy of their Transgender ID card.
S041,S041-E007,,gender,INFORMATION,Those Transgender students who are below 18 years must submit a self-declaration statement duly certified by the Head of Institution/Parent.,Those Transgender students who are below 18 years must submit a self-declaration statement duly certified by the Head of Institution/Parent.
S042,S042-E001,,education,INFORMATION,The student must have secured 60% or more marks in the 12th standard.,The student must have secured 60% or more marks in the 12th standard.
S042,S042-E002,,age,INFORMATION,"The girl must reside in a rural area and possess a ""Gaon Ki Beti"" (Daughter of the Village) certificate.","The girl must reside in a rural area and possess a ""Gaon Ki Beti"" (Daughter of the Village) certificate."
S042,S042-E003,,education,INFORMATION,She must be enrolled in a recognized institution for higher education.,She must be enrolled in a recognized institution for higher education.
S043,S043-E001,,gender,INFORMATION,The applicant should be a girl.,The applicant should be a girl.
S043,S043-E002,,education,INFORMATION,The applicant should be a student.,The applicant should be a student.
S043,S043-E003,,education,INFORMATION,The applicant should be studying in class VIII(8) in Government School of the UT of Dadra & Nagar Haveli and Daman & Diu.,The applicant should be studying in class VIII(8) in Government School of the UT of Dadra & Nagar Haveli and Daman & Diu.
S044,S044-E001,,gender,INFORMATION,The girl student should belong to the tribal class of Rajasthan.,The girl student should belong to the tribal class of Rajasthan.
S044,S044-E002,,gender,INFORMATION,The girl student should be regularly studying general education in a private/government college.,The girl student should be regularly studying general education in a private/government college.
S044,S044-E003,,income,INFORMATION,The parent/guardian/guardian/husband of the student should not be an income taxpayer.,The parent/guardian/guardian/husband of the student should not be an income taxpayer.
S044,S044-E004,,education,INFORMATION,"After passing the board examination, there should not be any gap in the continuous study of the student applying for the scheme.","After passing the board examination, there should not be any gap in the continuous study of the student applying for the scheme."
S044,S044-E005,,education,INFORMATION,The student who is studying by living in a hostel run by the government. They will not be entitled to benefit under the said scheme.,The student who is studying by living in a hostel run by the government. They will not be entitled to benefit under the said scheme.
S044,S044-E006,,special_condition,INFORMATION,Must have Vaidya Bhamashah card and Aadhaar card.,Must have Vaidya Bhamashah card and Aadhaar card.
S044,S044-E007,,gender,INFORMATION,The girl student should be a native of Rajasthan.,The girl student should be a native of Rajasthan.
S045,S045-E001,,residency,INFORMATION,The applicant should be a resident of Jharkhand state.,The applicant should be a resident of Jharkhand state.
S045,S045-E002,,residency,INFORMATION,The student should have passed class 10th from any recognized school in the state of Jharkhand **or** the student should possess a local residence certificate of Jharkhand.,The student should have passed class 10th from any recognized school in the state of Jharkhand **or** the student should possess a local residence certificate of Jharkhand.
S045,S045-E003,,education,INFORMATION,"The student must meet the exam's eligibility criteria for coaching under this scheme. For exams requiring Class 12th qualification, Class 11th students at the time of application are also eligible.","The student must meet the exam's eligibility criteria for coaching under this scheme. For exams requiring Class 12th qualification, Class 11th students at the time of application are also eligible."
S045,S045-E004,,residency,<=,"₹8,00,000","The student's annual family income should be less than ₹8,00,000/- **or** the student should be covered under the National/State Food Security Scheme."
S045,S045-E005,,prior_benefit,INFORMATION,An applicant who has already received similar benefits from another department is not eligible for dual benefits.,An applicant who has already received similar benefits from another department is not eligible for dual benefits.
S045,S045-E006,,education,INFORMATION,The student can avail the benefit only once under this scheme.,The student can avail the benefit only once under this scheme.
S045,S045-E007,,special_condition,INFORMATION,﻿,﻿
S046,S046-E001,,residency,INFORMATION,The applicant should be a permanent resident of Bihar.,The applicant should be a permanent resident of Bihar.
S046,S046-E002,,social_category,INFORMATION,The applicant should belong to the Scheduled Caste or Scheduled Tribe category.,The applicant should belong to the Scheduled Caste or Scheduled Tribe category.
S046,S046-E003,,special_condition,INFORMATION,"The applicant should have passed the preliminary examination of the Civil Services Competitive Examination conducted by either the Bihar Public Service Commission, Patna, or the Union Public Service Commission, New Delhi.","The applicant should have passed the preliminary examination of the Civil Services Competitive Examination conducted by either the Bihar Public Service Commission, Patna, or the Union Public Service Commission, New Delhi."
S046,S046-E004,,prior_benefit,INFORMATION,The benefit of this scheme is available to each candidate only once.,The benefit of this scheme is available to each candidate only once.
S046,S046-E005,,prior_benefit,INFORMATION,The applicant should not have received the same incentive from any other sources previously.,The applicant should not have received the same incentive from any other sources previously.
S047,S047-E001,,residency,INFORMATION,The student should be a native of Andhra Pradesh.,The student should be a native of Andhra Pradesh.
S047,S047-E002,,education,INFORMATION,"The student should be visually challenged, hearing challenged, speech impaired, and orthopedically challenged.","The student should be visually challenged, hearing challenged, speech impaired, and orthopedically challenged."
S047,S047-E003,,education,INFORMATION,The student should be pursuing postgraduate or professional courses.,The student should be pursuing postgraduate or professional courses.
S047,S047-E004,,education,INFORMATION,The laptop is sanctioned once in the lifetime of the student.,The laptop is sanctioned once in the lifetime of the student.
S048,S048-E001,,education,INFORMATION,The applicant should be a Student.,The applicant should be a Student.
S048,S048-E002,,social_category,INFORMATION,The applicant should be from a Scheduled Caste.,The applicant should be from a Scheduled Caste.
S048,S048-E003,,income,<=,"₹2,50,000","The annual income of the family of the applicant should not exceed ₹2,50,000/-."
S048,S048-E004,,education,INFORMATION,The applicant should be enrolled in a recognized post-matriculation/post-secondary course in India.,The applicant should be enrolled in a recognized post-matriculation/post-secondary course in India.
S048,S048-E005,,education,INFORMATION,The applicant should not be availing of any other scholarship for the same course from any other source.,The applicant should not be availing of any other scholarship for the same course from any other source.
S049,S049-E001,,education,INFORMATION,Education Loans taken under the IBA Model Education Loan Scheme.,Education Loans taken under the IBA Model Education Loan Scheme.
S049,S049-E002,,income,<=,₹4,The benefit of the Scheme is applicable to students belonging to economically weaker sections having gross parental/ family income up to ₹4.5 lakhs per annum from all sources.
S049,S049-E003,,education,INFORMATION,"Students enrolled in professional/technical courses only from NAAC accredited Institutions or professional/technical programmes accredited by NBA or Institutions of National Importance or Central Funded Technical Institutions (CFTIs). Those Professional Institutions/programmes, which do not come under the ambit of NAAC or NBA, would require approval of the respective regulatory body.","Students enrolled in professional/technical courses only from NAAC accredited Institutions or professional/technical programmes accredited by NBA or Institutions of National Importance or Central Funded Technical Institutions (CFTIs). Those Professional Institutions/programmes, which do not come under the ambit of NAAC or NBA, would require approval of the respective regulatory body."
S049,S049-E004,,education,INFORMATION,Admissible only once either for Undergraduate or Post Graduate degree courses. This is also admissible for Integrated Courses (Graduate + Post Graduate).,Admissible only once either for Undergraduate or Post Graduate degree courses. This is also admissible for Integrated Courses (Graduate + Post Graduate).
S049,S049-E005,,residency,INFORMATION,Students availing any other Central /State Government Scholarship or Fee reimbursement shall not be eligible for availing benefits under the CSIS Scheme.,Students availing any other Central /State Government Scholarship or Fee reimbursement shall not be eligible for availing benefits under the CSIS Scheme.
S049,S049-E006,,education,INFORMATION,"Interest Subsidy under this Scheme shall not be available to those students who discontinue their course midstream, or who are expelled from the Institution on disciplinary or academic grounds. However, the interest subsidy would be available only if discontinuation is due to medical grounds for which necessary documentation to the satisfaction of the Head of an educational institution needs to be provided.","Interest Subsidy under this Scheme shall not be available to those students who discontinue their course midstream, or who are expelled from the Institution on disciplinary or academic grounds. However, the interest subsidy would be available only if discontinuation is due to medical grounds for which necessary documentation to the satisfaction of the Head of an educational institution needs to be provided."
S050,S050-E001,,occupation_or_beneficiary_type,INFORMATION,"All farmers, including tenant farmers and sharecroppers growing notified crops in notified areas.","All farmers, including tenant farmers and sharecroppers growing notified crops in notified areas."
S050,S050-E002,,occupation_or_beneficiary_type,INFORMATION,Farmers must have an insurable interest in the insured crops.,Farmers must have an insurable interest in the insured crops.
S050,S050-E003,,occupation_or_beneficiary_type,INFORMATION,Farmers must possess a valid and authenticated land ownership certificate or a valid land tenure agreement.,Farmers must possess a valid and authenticated land ownership certificate or a valid land tenure agreement.
S050,S050-E004,,occupation_or_beneficiary_type,INFORMATION,The farmer must be a cultivator or sharecropper on the insured land.,The farmer must be a cultivator or sharecropper on the insured land.
S050,S050-E005,,age,INFORMATION,"The farmer must apply for insurance coverage within the prescribed time frame, usually within 2 weeks of the start of the sowing season.","The farmer must apply for insurance coverage within the prescribed time frame, usually within 2 weeks of the start of the sowing season."
S050,S050-E006,,occupation_or_beneficiary_type,INFORMATION,Farmers must not have received compensation for the same crop loss from any other medium or source.,Farmers must not have received compensation for the same crop loss from any other medium or source.
S001,S001-E001,Eligibility,gender,==,female / transgender per norms,"1\. Any single girl child of her parents pursuing a Ph.D. in Social Sciences in Universities/Colleges/ Institutes is eligible to apply under the scheme. In a family, if one son and one daughter are available then the girl child will not be considered for fellowship under the scheme.
2\. The scheme is applicable to such a single girl child who has registered herself in regular, full-time Ph. D. program in Social Sciences in Indian Universities/Colleges/Institutes as indicated below:
- Universities/Colleges/Institutes included under section 2(f) and 12(b) of UGC Act, 1956.
- Deemed to be Universities under section 3 of the UGC Act 1956 which are eligible to receive grants in aid from UGC.
- Universities/Colleges/Institutes funded by Central/ State Govt.
- Institutes of National Importance.
3\. Admission to Ph.D. Course in Distance education mode is not covered under the scheme.
4\. Girl students up to the age of 40 years for the general category and 45 years for the reserved categories i.e. SC/ST/OBC and PWD (Persons with Disabilities) as on the last date of submission of online application are eligible.
5\. Transgender candidates are eligible to apply under the scheme as per the norms."
S001,S001-E002,Eligibility,child_status,==,Single girl child,"1\. Any single girl child of her parents pursuing a Ph.D. in Social Sciences in Universities/Colleges/ Institutes is eligible to apply under the scheme. In a family, if one son and one daughter are available then the girl child will not be considered for fellowship under the scheme.
2\. The scheme is applicable to such a single girl child who has registered herself in regular, full-time Ph. D. program in Social Sciences in Indian Universities/Colleges/Institutes as indicated below:
- Universities/Colleges/Institutes included under section 2(f) and 12(b) of UGC Act, 1956.
- Deemed to be Universities under section 3 of the UGC Act 1956 which are eligible to receive grants in aid from UGC.
- Universities/Colleges/Institutes funded by Central/ State Govt.
- Institutes of National Importance.
3\. Admission to Ph.D. Course in Distance education mode is not covered under the scheme.
4\. Girl students up to the age of 40 years for the general category and 45 years for the reserved categories i.e. SC/ST/OBC and PWD (Persons with Disabilities) as on the last date of submission of online application are eligible.
5\. Transgender candidates are eligible to apply under the scheme as per the norms."
S001,S001-E003,Eligibility,phd_status,==,Pursuing PhD,"1\. Any single girl child of her parents pursuing a Ph.D. in Social Sciences in Universities/Colleges/ Institutes is eligible to apply under the scheme. In a family, if one son and one daughter are available then the girl child will not be considered for fellowship under the scheme.
2\. The scheme is applicable to such a single girl child who has registered herself in regular, full-time Ph. D. program in Social Sciences in Indian Universities/Colleges/Institutes as indicated below:
- Universities/Colleges/Institutes included under section 2(f) and 12(b) of UGC Act, 1956.
- Deemed to be Universities under section 3 of the UGC Act 1956 which are eligible to receive grants in aid from UGC.
- Universities/Colleges/Institutes funded by Central/ State Govt.
- Institutes of National Importance.
3\. Admission to Ph.D. Course in Distance education mode is not covered under the scheme.
4\. Girl students up to the age of 40 years for the general category and 45 years for the reserved categories i.e. SC/ST/OBC and PWD (Persons with Disabilities) as on the last date of submission of online application are eligible.
5\. Transgender candidates are eligible to apply under the scheme as per the norms."
