scheme_id,document_id,condition_or_section,document
S029,S029-D007,,Disability Certificate / Medical Certificate.
S029,S029-D008,,Financial Assistance Identity Card.
S030,S030-D001,,Aadhar Card
S030,S030-D002,,PAN Card
S030,S030-D003,,"Unique Disability ID card (UDID) (issued by the Ministry of Social Justice and Empowerment, Govt. of India) or Disability certificate (issued by Central Govt./State Govt./District Govt. bearing the proper signature and seal of the issuing authority wherein their name and registration no. should be mentioned)"
S030,S030-D004,,Income Tax Return filed for the last three years.
S030,S030-D005,,Self-Declaration stating that he has not availed this concession in the last five years and he will not dispose of the vehicle after availing the GST concession for a period of 5 years from the date of purchase in the prescribed format placed in Annexure C.
S030,S030-D006,,"Details of the Vehicle Model they intend to purchase along with the name of the dealer from whom the vehicle will be purchased and the name of RTO, where the vehicle will be registered."
S030,S030-D007,,"NOTE:** If a person does not have either of the medical certificates as referred above, then duly-filled annexure B is required with the signature and countersignature of orthopaedic doctor and civil surgeon rank officers respectively with their seal indicating their name and registration number."
S031,S031-D001,,1\. Copy of plan expenditure of proposed expenses\*.
S031,S031-D002,,2\. The form and documents as mentioned in Annexure 1 for Educational Institutes.
S031,S031-D003,,NOTE:** The bank account of the Principal/ Director of the institute should be linked to Aadhaar.
S032,S032-D001,,Proof of Age.
S032,S032-D002,,Declaration/Affidavit that the applicant has not availed any benefit of loan/subsidy from any other source for the intended purpose.
S032,S032-D003,,A provisional loan sanction order from the bank.
S032,S032-D004,,"Necessary approvals from authorities such as Municipality, Department of Science and Technology, Inspector of Factories and Boilers, Agriculture Department, etc."
S033,S033-D001,,"National identity card for differently abled,"
S033,S033-D002,,"Certificate  from the educational  institution,  (except  for the Blind)"
S033,S033-D003,,Bonafide certificate from concerned authority/employer.
S033,S033-D004,,For 75% concession every time a Xerox copy of the Identity card is to be given to the conductor and the original shall be shown if required.
S033,S033-D005,,"For availing 75% concession for the escort, a certificate from Government Doctor should be submitted."
S034,S034-D001,,Aadhaar Card
S034,S034-D002,,Proof of Identity
S034,S034-D003,,Proof of Age (Birth Certificate or Marksheet of Class 10th)
S034,S034-D004,,Bank Details
S034,S034-D005,,Proof of pursuing Ph.D. in Social Sciences
S034,S034-D006,,Passport Size Photograph
S034,S034-D007,,Caste Certificate (if applicable)
S034,S034-D008,,Disability Certificate (if applicable)
S034,S034-D009,,Transgender ID Card (if applicable)
S034,S034-D010,,Proof of being a single girl child has to be submitted on an affidavit ofRs.50/- Stamp paper from the fellow/parent duly attested by SDM/First Class Magistrate/Gazetted Officer (not below the rank of Tahsildar) as per the prescribed proforma ([Annexure I](https://www.ugc.gov.in/pdfnews/1555717_guidelines-SWAMI-Vivekananda.pdf)) at the time of filling out the online application.
S035,S035-D001,,"Identity card i.e. Aadhaar Card, Election ID/ Voter ID"
S035,S035-D002,,Mobile number
S035,S035-D003,,Email id
S035,S035-D004,,Passport size photo
S035,S035-D005,,Self-declaration Affidavit stating that the applicant is Transgender.
S035,S035-D006,,Bank details- Copy of Pass Book
S035,S035-D007,,Ration Card (If applicable)
S035,S035-D008,,Certificate issued by the Principal of the Educational Institution
S035,S035-D009,,Educational Certificates/Course Certificates
S035,S035-D010,,The applicant who has not completed 18 years of age Parent's Certificate / Applicant who has completed 18 years of age and ID Card is not available-Self attested certificate.
S035,S035-D011,,"Other documents, if any"
S036,S036-D001,,Student Photo
S036,S036-D002,,Aadhaar Number
S036,S036-D003,,Caste Certificate
S036,S036-D004,,Details of the Aadhaar Linked Bank Account
S036,S036-D005,,Residential/Domicile Certificate
S036,S036-D006,,Proof of Admission
S036,S036-D007,,Proof of Identity
S036,S036-D008,,Marksheets of the Previous Qualified Examination
S037,S037-D001,,Identity Proof
S037,S037-D002,,Domicile certificate
S037,S037-D003,,Income certificate
S037,S037-D004,,Unconditional Offer Letter from the educational institution abroad.
S037,S037-D005,,Educational qualification certificates
S037,S037-D006,,Passport of the concerned candidate
S037,S037-D007,,"No-objection certificate, in case the candidate is employed."
S037,S037-D008,,﻿
S038,S038-D001,,Caste Certificate Copy.
S038,S038-D002,,Education Qualification Marksheet / Certificate Copy.
S038,S038-D003,,Aadhar Card Copy.
S038,S038-D004,,Jan Aadhar/Bhamashah Card Copy.
S038,S038-D005,,Income Certificate Copy.
S039,S039-D001,,Aadhaar Number.
S039,S039-D002,,Proof of Identity.
S039,S039-D003,,Proof of Age (Birth Certificate).
S039,S039-D004,,Proof of Address.
S039,S039-D005,,Domicile Certificate of Maharashtra.
S039,S039-D006,,"Caste Certificate VJNT or SBC Community (duly signed by an authorized Revenue Officer, not below the rank of Tehsildar)."
S039,S039-D007,,Marksheet of the Latest Educational Qualification.
S039,S039-D008,,Fee Receipt of ‘Current Course Year’.
S039,S039-D009,,Bank Account Details.
S039,S039-D010,,Passport-sized Photograph.
S040,S040-D001,,When applying for the Internship:***
S040,S040-D002,,Passport Sized Photograph
S040,S040-D003,,Self-Attested Copies of the Educational Certificates
S040,S040-D004,,Declaration of Secrecy (Interns shall be required to furnish a Declaration of Secrecy prior to the commencement of the internship).
S040,S040-D005,,At the end of the Internship:***
S040,S040-D006,,"An assignment Report on the allotted subject (to be presented to the Director, SFIO)."
S040,S040-D007,,A feedback on their experience of the internship program.
S041,S041-D001,,"Identity card i.e. Aadhaar Card, Election ID/ Voter ID"
S041,S041-D002,,Transgender students above 18 years of age should submit a copy of their Transgender ID card.
S041,S041-D003,,Transgender students who have not completed 18 years of age should produce self-declaration with attestation of parent/head of the institution.
S041,S041-D004,,Mobile number
S041,S041-D005,,Email id
S041,S041-D006,,Passport size photo
S041,S041-D007,,Self-declaration Affidavit stating that the applicant is Transgender.
S041,S041-D008,,Bank details- Copy of Pass Book
S041,S041-D009,,A certificate from the institution/supervisors regarding admission on a merit basis
S041,S041-D010,,Educational Certificates/Course Certificates
S041,S041-D011,,Letter pad of the College/Institution with attached certificate of fee details
S041,S041-D012,,"Other documents, if any"
S042,S042-D001,,Class 12 marksheet.
S042,S042-D002,,Age certificate.
S042,S042-D003,,Domicile certificate.
S042,S042-D004,,Caste certificate.
S042,S042-D005,,Income certificate of parents.
S042,S042-D006,,Village daughter certificate.
S042,S042-D007,,Samagra ID.
S042,S042-D008,,Current college code and branch code.
S042,S042-D009,,Mobile number and email id of the candidate.
S042,S042-D010,,Passport-size photograph of the candidate.
S042,S042-D011,,﻿
S043,S043-D001,,﻿
S044,S044-D001,,Aadhaar Card.
S044,S044-D002,,Annual Income Of The Parent / Guardian - Non-Tax Payee.
S044,S044-D003,,Janaadhaar Card Details Of Family And Student.
S044,S044-D004,,Bank Details Linked With the Janaadhaar Card Of Either The Family Head Or Student.
S044,S044-D005,,Caste Certificate.
S044,S044-D006,,Birth Certificate.
S045,S045-D001,,Color Photograph of the applicant.
S045,S045-D002,,Signature of the student.
S045,S045-D003,,Student’s Aadhaar Card.
S045,S045-D004,,Class 10TH Certificate and Marksheet.
S045,S045-D005,,Residence Certificate.
S045,S045-D006,,Income Certificate.
S045,S045-D007,,Ration Card (Self-attested copy).
S045,S045-D008,,Caste Certificate (issued by Competent Authority Sub-Divisional Officer / Circle Officer).
S046,S046-D001,,Passport size photograph
S046,S046-D002,,Scanned copy of signature
S046,S046-D003,,Identity proof i.e. Aadhaar Card
S046,S046-D004,,Self-Attested copy of Admit Card
S046,S046-D005,,Proof of passing examination
S046,S046-D006,,Proof of residence (issued by competent authority)
S046,S046-D007,,Domicile Certificate
S046,S046-D008,,Caste certificate
S046,S046-D009,,Bank Account Details/scanned copy of signed cancelled cheque
S046,S046-D010,,Any additional documents as required
S047,S047-D001,,Bonafide Certificate (issued from the recognized School/College).
S047,S047-D002,,Parents Income Certificate.
S047,S047-D003,,Saderam/Disability Certificate.
S047,S047-D004,,Aadhar Card.
S047,S047-D005,,Mobile Number.
S048,S048-D001,,Aadhaar Card
S048,S048-D002,,Bank Account Details (Aadhaar-seeded)
S048,S048-D003,,Previous Year Mark Sheet
S048,S048-D004,,Original Fee Receipts
S048,S048-D005,,Fee Structure (on institute letterhead with stamp/signature)
S048,S048-D006,,"Income Certificate (issued by SDM, Delhi)"
S048,S048-D007,,Caste Certificate (issued by Govt. of NCT of Delhi)
S048,S048-D008,,Institution Certificate (confirming no other scholarship availed)
S048,S048-D009,,Admission/Completion Date Proof
S048,S048-D010,,Degree/Diploma Certificates (for all prior qualifications)
S048,S048-D011,,Institute Verification Page (for institutions outside Delhi)
S049,S049-D001,,1\.	Identity proof i.e Aadhaar Card
S049,S049-D002,,2\.	PAN Card
S049,S049-D003,,3\.	Income proof (Issued by Competent Authority)
S049,S049-D004,,4\.	Educational Certificates
S049,S049-D005,,5\.	Proof of admission to the course
S049,S049-D006,,6\.	Bank account details
S049,S049-D007,,"7\.	Any other documents, as required"
S050,S050-D001,,Passport–sized Photograph
S050,S050-D002,,Passbook
S050,S050-D003,,"Identity Proof (Aadhaar Card/PAN Card/Voter ID/Bank Passbook with Photo, Kisan Photo Book/NREGA Job Card)"
S050,S050-D004,,Address Proof (Aadhaar Card/PAN Card/Voter ID/Electricity Bill/Bank Passbook with Photo).
S050,S050-D005,,"Evidence of Land records, as per the State Records of Right (RoR), Land Possession Certificate (LPC), and other applicable agreements, contracts notified or permitted by the state."
S050,S050-D006,,Declaration about the crop sown/intended to be sown.
