scheme_id,source_id,source_type,source_url
S039,S039-SRC005,Official/Referenced,https://mahadbt.maharashtra.gov.in/Grievance/Faqdetails
S040,S040-SRC001,Guideline/Reference PDF,https://cdnbbsr.s3waas.gov.in/s3d51b416788b6ee70eb0c381c06efc9f1/uploads/2025/03/202503122064427326.pdf
S041,S041-SRC001,Official/Referenced,http://sjd.kerala.gov.in/scheme-info.php?scheme_id=IDE3MXNWOHVxUiN2eQ==
S041,S041-SRC002,Guideline/Reference PDF,http://sjd.kerala.gov.in/DOCUMENTS/Downloadables/Application%20Forms/31398.pdf
S041,S041-SRC003,Guideline/Reference PDF,http://sjd.kerala.gov.in/DOCUMENTS/Order_new/GOs/31400.pdf
S042,S042-SRC001,Official/Referenced,http://www.scholarshipportal.mp.nic.in/Public/OtherSchemes/GB.aspx?ID=Mw==
S042,S042-SRC002,Official/Referenced,https://highereducation.mp.gov.in/?page=EBqfv7FdkfDh3Br0aRCxjA%3D%3D\&orgid=267
S042,S042-SRC003,Guideline/Reference PDF,http://mpcstvidisha.in/wp-content/uploads/2020/09/Gaon-ki-Beti-Yojna-Form.pdf
S043,S043-SRC001,Guideline/Reference PDF,https://cdnbbsr.s3waas.gov.in/s371e09b16e21f7b6919bbfc43f6a5b2f0/uploads/2026/04/202604271563230589.pdf
S044,S044-SRC001,Official/Referenced,https://schemes.rajasthan.gov.in/scheme/detail/451
S044,S044-SRC002,Official/Referenced,https://sso.rajasthan.gov.in/register
S045,S045-SRC001,Guideline/Reference PDF,https://mukhyamantri.apphost.in/document/mukhyamantri_guideline.pdf
S045,S045-SRC002,Official/Referenced,https://www.jharkhand.gov.in/PDepartment/ViewDoc?id=D013DO0058SD0013807122023050525433
S045,S045-SRC003,Official/Referenced,https://mukhyamantri.apphost.in/
S046,S046-SRC001,Official/Referenced,https://state.bihar.gov.in/scstwelfare/Content.html?links\&page=Mukhyamantri%20Anushoochit%20Jaati%20Ewam%20Anushoochit%20Janjaati%20Civil%20Sva%20Protsahan%20Yojna
S046,S046-SRC002,Guideline/Reference PDF,https://bcebconline.bihar.gov.in/cspy/EBCscholarship/Photo/GuidlinesScSt.pdf
S046,S046-SRC003,Guideline/Reference PDF,https://state.bihar.gov.in/scstwelfare/cache/1/12-Sep-24/SHOW_DOCS/UPSC-2023.pdf
S046,S046-SRC004,Guideline/Reference PDF,https://bcebconline.bihar.gov.in/cspy/EBCscholarship/Photo/Sample_format_for_AffidavitScSt.pdf
S046,S046-SRC005,Official/Referenced,https://bcebconline.bihar.gov.in/cspy/EBCscholarship/Index.aspx
S047,S047-SRC001,Official/Referenced,https://apdascac.ap.gov.in/Schemes/laptops/
S047,S047-SRC002,Official/Referenced,https://apdascac.ap.gov.in/
S048,S048-SRC001,Guideline/Reference PDF,https://scstwelfare.delhi.gov.in/sites/default/files/scstwelfare/scheme/pms_sc-201718.pdf
S048,S048-SRC002,Official/Referenced,https://scstwelfare.delhi.gov.in/scstwelfare/services-schemes
S049,S049-SRC001,Guideline/Reference PDF,https://www.education.gov.in/sites/upload_files/mhrd/files/upload_document/pmusp_csis.pdf
S049,S049-SRC002,Official/Referenced,https://www.education.gov.in/scholarships-education-loan-4
S049,S049-SRC003,Guideline/Reference PDF,https://www.education.gov.in/sites/upload_files/mhrd/files/upload_document/CSIS%20-%20NewGuidelines.pdf
S049,S049-SRC004,Guideline/Reference PDF,https://www.education.gov.in/sites/upload_files/mhrd/files/upload_document/IBAM.pdf
S049,S049-SRC005,Official/Referenced,https://pmvidyalaxmi.co.in/
S050,S050-SRC001,Official/Referenced,https://pmfby.gov.in/
S050,S050-SRC002,Guideline/Reference PDF,https://pmfby.gov.in/pdf/Revamped%20Operational%20Guidelines_17th%20August%202020.pdf
S050,S050-SRC003,Guideline/Reference PDF,https://pmfby.gov.in/pdf/FAQ%E2%80%93For%20Portal.pdf
